year,team,stadium,home_G,home_RS,home_RA,away_G,away_RS,away_RA,PF,PF_5yr,renovation_year,PF_proj,PF_proj_note
2016,阪神,甲子園,71,233,279,72,273,267,0.962,0.962,,0.962,
2016,DeNA,横浜スタジアム,72,309,325,78,283,287,1.205,1.205,,1.205,
2016,巨人,東京ドーム,75,260,272,71,267,281,0.919,0.919,,0.919,
2016,中日,バンテリンドーム,71,224,240,72,276,333,0.773,0.773,,0.773,
2016,広島,マツダスタジアム,79,395,268,74,324,263,1.058,1.058,,1.058,
2016,ヤクルト,神宮球場,71,329,349,72,265,345,1.127,1.127,,1.127,
2016,ソフトバンク,PayPayドーム,73,335,279,77,326,227,1.171,1.171,2015,1.171,
2016,日本ハム,札幌ドーム,79,344,254,75,322,248,0.996,0.996,,0.996,
2016,オリックス,京セラドーム,72,231,309,71,268,326,0.896,0.896,,0.896,
2016,楽天,楽天モバイルパーク,72,281,343,71,263,311,1.072,1.072,2016,1.072,
2016,西武,ベルーナドーム,71,316,321,72,303,297,1.077,1.077,,1.077,
2016,ロッテ,ZOZOマリン,72,262,256,73,325,334,0.797,0.797,,0.797,
2017,阪神,甲子園,75,282,264,71,316,283,0.863,0.91,,0.91,
2017,DeNA,横浜スタジアム,74,324,308,83,332,335,1.063,1.129,,1.129,
2017,巨人,東京ドーム,71,275,246,72,261,258,1.018,0.967,,0.967,
2017,中日,バンテリンドーム,72,250,269,71,237,354,0.866,0.819,,0.819,
2017,広島,マツダスタジアム,76,380,257,72,367,303,0.901,0.974,,0.974,
2017,ヤクルト,神宮球場,72,291,374,71,182,279,1.422,1.254,,1.254,
2017,ソフトバンク,PayPayドーム,80,359,239,74,325,277,0.919,1.036,2015,1.036,
2017,日本ハム,札幌ドーム,72,271,266,71,238,330,0.932,0.964,,0.964,
2017,オリックス,京セラドーム,71,277,303,72,262,295,1.056,0.973,,0.973,
2017,楽天,楽天モバイルパーク,71,304,286,80,303,276,1.148,1.112,2016,1.112,
2017,西武,ベルーナドーム,75,387,270,71,316,299,1.011,1.043,,1.043,
2017,ロッテ,ZOZOマリン,71,235,301,72,244,346,0.921,0.856,,0.856,
2018,阪神,甲子園,71,237,296,72,340,332,0.804,0.87,,0.87,
2018,DeNA,横浜スタジアム,72,295,347,71,277,295,1.107,1.122,,1.122,
2018,巨人,東京ドーム,72,315,295,76,321,296,1.044,0.992,,0.992,
2018,中日,バンテリンドーム,71,283,265,72,315,389,0.789,0.808,,0.808,
2018,広島,マツダスタジアム,78,390,329,74,366,348,0.955,0.967,,0.967,
2018,ヤクルト,神宮球場,73,393,369,72,266,304,1.319,1.277,,1.277,
2018,ソフトバンク,PayPayドーム,77,361,316,80,406,320,0.969,1.009,2015,1.009,
2018,日本ハム,札幌ドーム,71,299,278,75,299,323,0.98,0.968,,0.968,
2018,オリックス,京セラドーム,72,258,287,71,280,278,0.963,0.97,,0.97,
2018,楽天,楽天モバイルパーク,72,228,331,71,292,252,1.013,1.079,2016,1.079,
2018,西武,ベルーナドーム,76,449,408,72,371,289,1.23,1.111,,1.111,
2018,ロッテ,ZOZOマリン,72,239,307,71,295,321,0.874,0.862,,0.862,
2019,阪神,甲子園,72,255,269,78,307,332,0.888,0.875,,0.875,
2019,DeNA,横浜スタジアム,75,343,310,71,267,315,1.062,1.108,,1.108,
2019,巨人,東京ドーム,77,390,330,74,304,276,1.193,1.045,,1.045,
2019,中日,バンテリンドーム,72,275,247,71,288,297,0.88,0.825,,0.825,
2019,広島,マツダスタジアム,71,290,289,72,301,312,0.958,0.966,,0.966,
2019,ヤクルト,神宮球場,71,321,400,72,335,339,1.085,1.221,,1.221,
2019,ソフトバンク,PayPayドーム,77,323,311,77,325,286,1.038,1.016,2015,1.016,
2019,日本ハム,札幌ドーム,72,283,302,71,277,284,1.028,0.983,,0.983,
2019,オリックス,京セラドーム,71,264,313,72,280,324,0.969,0.969,,0.969,
2019,楽天,楽天モバイルパーク,71,270,267,75,354,322,0.839,1.011,2016,1.011,
2019,西武,ベルーナドーム,76,401,413,71,368,314,1.115,1.113,,1.113,
2019,ロッテ,ZOZOマリン,71,301,296,72,341,315,0.923,0.923,2019,0.923,
2020,阪神,甲子園,60,242,199,60,252,261,0.86,0.873,,0.873,
2020,DeNA,横浜スタジアム,60,291,236,60,225,238,1.138,1.113,,1.113,
2020,巨人,東京ドーム,62,282,215,62,254,232,1.023,1.041,,1.041,
2020,中日,バンテリンドーム,60,225,200,60,204,289,0.862,0.831,,0.831,
2020,広島,マツダスタジアム,60,239,271,60,284,258,0.941,0.961,,0.961,
2020,ヤクルト,神宮球場,60,259,324,60,209,265,1.23,1.222,,1.222,
2020,ソフトバンク,PayPayドーム,64,281,188,62,286,212,0.912,0.998,2015,0.998,
2020,日本ハム,札幌ドーム,60,245,223,60,248,305,0.846,0.957,,0.957,
2020,オリックス,京セラドーム,60,220,243,60,222,259,0.963,0.968,,0.968,
2020,楽天,楽天モバイルパーク,60,312,248,60,245,274,1.079,1.024,2016,1.024,
2020,西武,ベルーナドーム,60,261,261,60,218,282,1.044,1.102,,1.102,
2020,ロッテ,ZOZOマリン,60,262,245,62,206,244,1.164,1.021,2019,1.021,
2021,阪神,甲子園,73,256,281,72,287,235,1.015,0.881,,0.881,
2021,DeNA,横浜スタジアム,71,294,326,72,265,298,1.117,1.095,,1.095,
2021,巨人,東京ドーム,72,298,296,76,264,258,1.201,1.098,,1.098,
2021,中日,バンテリンドーム,71,202,189,72,203,289,0.806,0.839,,0.839,
2021,広島,マツダスタジアム,72,254,286,71,303,303,0.879,0.928,,0.928,
2021,ヤクルト,神宮球場,78,322,289,74,333,260,0.978,1.189,,1.189,
2021,ソフトバンク,PayPayドーム,71,279,236,72,285,257,0.964,0.961,2015,0.961,
2021,日本ハム,札幌ドーム,71,214,277,72,240,238,1.042,0.964,,0.964,
2021,オリックス,京セラドーム,78,283,239,74,290,283,0.864,0.961,,0.961,
2021,楽天,楽天モバイルパーク,72,248,239,73,292,277,0.868,0.982,2016,0.982,
2021,西武,ベルーナドーム,71,271,298,72,250,291,1.067,1.102,,1.102,
2021,ロッテ,ZOZOマリン,74,318,334,74,278,250,1.235,1.09,2019,1.09,
2022,阪神,甲子園,72,236,215,77,265,234,0.967,0.901,,0.901,
2022,DeNA,横浜スタジアム,75,289,263,71,211,276,1.073,1.097,,1.097,
2022,巨人,東京ドーム,72,278,304,71,270,285,1.034,1.1,,1.1,
2022,中日,バンテリンドーム,71,200,219,72,214,276,0.867,0.839,,0.839,
2022,広島,マツダスタジアム,71,273,258,72,279,286,0.953,0.939,,0.939,
2022,ヤクルト,神宮球場,78,322,344,75,338,251,1.087,1.13,,1.13,
2022,ソフトバンク,PayPayドーム,74,294,246,75,282,242,1.044,0.985,2015,0.985,
2022,日本ハム,札幌ドーム,72,240,249,71,223,285,0.949,0.967,,0.967,
2022,オリックス,京セラドーム,78,249,242,76,275,247,0.916,0.933,,0.933,
2022,楽天,楽天モバイルパーク,71,263,291,72,270,231,1.121,0.974,2016,0.974,
2022,西武,ベルーナドーム,72,245,202,73,224,259,0.938,1.098,,1.098,
2022,ロッテ,ZOZOマリン,71,244,275,72,257,261,1.016,1.072,2019,1.072,
2023,阪神,甲子園,77,310,223,76,285,229,1.023,0.949,,0.949,
2023,DeNA,横浜スタジアム,71,264,237,74,260,266,0.993,1.076,,1.076,
2023,巨人,東京ドーム,71,244,232,72,279,275,0.871,1.067,,1.067,
2023,中日,バンテリンドーム,72,177,220,71,213,278,0.797,0.844,,0.844,
2023,広島,マツダスタジアム,74,274,253,74,230,269,1.056,0.954,,0.954,
2023,ヤクルト,神宮球場,72,316,325,71,218,242,1.374,1.132,,1.132,
2023,ソフトバンク,PayPayドーム,71,276,256,75,268,264,1.056,1.005,2015,1.005,
2023,日本ハム,エスコンフィールド,71,220,249,72,244,247,0.969,0.969,2023,0.969,
2023,オリックス,京セラドーム,80,287,265,74,263,206,1.089,0.954,,0.954,
2023,楽天,楽天モバイルパーク,72,242,250,71,271,306,0.841,0.939,2016,0.939,
2023,西武,ベルーナドーム,71,190,226,72,245,239,0.872,1.023,,1.023,
2023,ロッテ,ZOZOマリン,75,309,262,75,222,288,1.12,1.081,2019,1.081,
2024,阪神,甲子園,74,253,185,71,236,248,0.868,0.948,,0.948,
2024,DeNA,横浜スタジアム,75,280,287,82,298,243,1.146,1.094,,1.094,
2024,巨人,東京ドーム,78,230,206,71,241,185,0.932,1.008,,1.008,
2024,中日,バンテリンドーム,71,182,194,72,191,284,0.803,0.827,,0.827,
2024,広島,マツダスタジアム,71,227,203,72,188,216,1.079,0.973,,0.973,
2024,ヤクルト,神宮球場,71,274,294,72,232,262,1.166,1.153,,1.153,
2024,ソフトバンク,PayPayドーム,78,321,226,74,315,203,1.002,0.996,2015,0.996,
2024,日本ハム,エスコンフィールド,75,311,269,74,235,237,1.212,1.089,2023,1.089,
2024,オリックス,京セラドーム,71,191,216,72,211,232,0.932,0.949,,0.949,
2024,楽天,楽天モバイルパーク,71,206,271,72,286,308,0.814,0.937,2016,0.937,
2024,西武,ベルーナドーム,72,180,241,71,170,244,1.003,0.986,,0.986,
2024,ロッテ,ZOZOマリン,71,264,246,75,235,257,1.095,1.127,2019,1.127,
2025,阪神,甲子園,77,237,175,74,278,199,0.83,0.942,,0.942,
2025,DeNA,横浜スタジアム,73,278,258,75,248,217,1.184,1.102,,1.102,
2025,巨人,東京ドーム,71,232,200,74,239,274,0.878,0.981,,0.981,
2025,中日,バンテリンドーム,72,212,214,71,191,249,0.955,0.844,,1.05,推定（2026年改修後の実績未蓄積）
2025,広島,マツダスタジアム,72,250,237,71,191,260,1.065,0.996,,0.996,
2025,ヤクルト,神宮球場,72,235,295,71,208,269,1.096,1.129,,1.129,
2025,ソフトバンク,PayPayドーム,79,298,210,75,283,211,0.976,1.007,2015,1.007,
2025,日本ハム,エスコンフィールド,73,296,249,78,283,175,1.271,1.147,2023,1.147,
2025,オリックス,京セラドーム,72,245,249,73,261,277,0.931,0.943,,0.943,
2025,楽天,楽天モバイルパーク,72,224,248,71,222,278,0.931,0.908,2016,1.05,推定（2026年改修後の実績未蓄積）
2025,西武,ベルーナドーム,71,200,217,72,210,248,0.923,0.962,,0.962,
2025,ロッテ,ZOZOマリン,72,237,266,71,204,287,1.01,1.097,2019,1.097,
